"","Early.Adopter","Fearful","Careful","Stubborn","Influencer","Uninterested","Homo.Economicus","Cluster8"
"pattern_344",9,9,15,11,9,7,5,9
"pattern_410",10,10,16,12,12,10,10,10
"pattern_179",16,10,4,8,24,16,14,10
"pattern_204",18,8,4,8,24,16,10,14
"pattern_779",11,13,19,15,11,9,11,13
"pattern_81",13,11,11,11,15,11,13,13
"pattern_506",16,8,2,6,22,16,12,10
"pattern_202",10,4,10,8,14,10,4,4
"pattern_620",15,9,9,7,17,11,9,13
"pattern_205",7,11,17,13,7,9,7,11
"pattern_849",12,8,14,10,14,8,6,12
"pattern_728",12,12,14,12,12,12,12,12
"pattern_808",10,12,18,14,8,8,10,12
"pattern_200",10,10,16,12,10,8,4,12
"pattern_813",12,8,14,12,12,8,4,8
"pattern_321",8,12,18,14,10,8,10,10
"pattern_412",12,10,16,14,10,10,6,10
"pattern_452",12,6,8,6,16,12,8,6
"pattern_549",11,7,13,9,13,9,3,9
"pattern_690",16,10,6,10,24,20,12,16
"pattern_389",16,12,8,12,26,18,14,16
"pattern_395",12,6,12,10,14,10,6,6
"pattern_651",16,6,6,6,20,12,10,10
"pattern_900",6,14,18,14,8,10,10,10
"pattern_309",12,4,4,2,20,14,8,8
"pattern_559",16,8,8,8,20,12,10,14
"pattern_396",18,10,8,8,20,12,10,16
"pattern_84",12,6,12,10,14,8,4,10
"pattern_164",11,9,15,11,13,9,5,11
"pattern_463",12,6,12,10,14,10,8,8
"pattern_1040",12,10,16,12,10,6,6,10
"pattern_1065",9,13,19,15,11,9,9,11
"pattern_700",16,8,4,6,24,18,10,12
"pattern_54",12,14,20,16,10,10,14,14
"pattern_1331",12,12,18,14,10,10,14,14
"pattern_280",18,8,6,8,22,14,10,12
"pattern_1823",10,16,22,18,8,10,14,12
"pattern_562",18,10,6,10,22,16,12,14
"pattern_821",16,10,6,10,24,18,12,16
"pattern_194",9,11,17,13,11,9,11,11
"pattern_381",12,8,14,10,12,10,6,10
"pattern_342",12,12,16,12,12,12,12,12
"pattern_145",10,2,8,6,16,10,4,6
"pattern_838",14,12,8,10,24,18,14,12
"pattern_363",14,10,12,10,14,12,10,12
"pattern_264",8,12,18,16,10,8,8,8
"pattern_1400",12,6,10,8,16,12,8,6
"pattern_330",8,12,18,14,6,10,8,12
"pattern_1234",12,8,10,8,14,10,8,10
"pattern_350",18,8,4,8,24,18,10,14
"pattern_116",18,10,6,8,22,16,12,14
"pattern_291",5,11,17,13,9,7,7,9
"pattern_95",18,8,6,8,22,14,10,14
"pattern_819",10,2,8,6,16,10,6,8
"pattern_192",12,4,8,4,18,12,6,10
"pattern_1178",12,4,10,8,16,10,8,6
"pattern_1911",12,6,10,8,16,12,8,6
"pattern_265",13,11,11,11,15,11,11,11
"pattern_734",13,13,15,13,13,13,13,13
"pattern_1377",14,8,10,8,16,10,8,12
"pattern_985",6,12,16,14,10,8,8,6
"pattern_756",14,10,10,10,14,12,12,14
"pattern_187",14,6,12,10,14,8,4,8
"pattern_930",18,10,6,8,24,16,12,16
"pattern_737",10,12,18,14,10,10,10,10
"pattern_19",10,8,14,12,12,8,8,6
"pattern_748",16,6,6,6,22,14,8,12
"pattern_1527",12,8,8,8,16,12,10,12
"pattern_870",10,4,10,8,14,10,6,6
"pattern_154",12,2,8,6,18,12,4,8
"pattern_1260",10,14,20,16,8,8,14,12
"pattern_1525",4,14,18,14,8,8,10,8
"pattern_251",14,4,6,4,20,14,6,10
"pattern_71",10,10,16,12,8,6,6,10
"pattern_518",18,10,8,8,22,14,12,14
"pattern_303",8,14,20,16,8,10,10,12
"pattern_1563",15,11,11,11,15,13,11,15
"pattern_394",16,14,8,10,24,16,16,14
"pattern_1369",8,12,16,14,12,8,8,6
"pattern_945",11,11,15,11,13,11,11,11
"pattern_940",16,12,8,10,22,18,14,16
"pattern_761",14,4,8,6,16,10,8,8
"pattern_827",10,10,16,12,10,8,4,10
"pattern_3",18,14,10,12,24,18,16,18
"pattern_1016",17,9,7,7,21,13,11,15
"pattern_271",15,5,3,5,21,15,9,11
"pattern_356",11,7,13,11,11,7,5,7
"pattern_392",12,8,14,10,14,10,4,10
"pattern_211",18,10,6,10,26,16,12,14
"pattern_537",16,12,6,8,24,16,14,12
"pattern_406",6,10,16,12,10,6,8,8
"pattern_984",10,4,6,4,18,14,6,6
"pattern_306",16,12,8,8,22,16,14,14
"pattern_31",16,12,8,12,24,18,14,14
"pattern_593",12,10,16,12,10,8,6,12
"pattern_364",11,17,23,19,7,9,15,13
"pattern_743",14,12,12,12,14,14,10,14
"pattern_886",14,8,8,6,18,14,10,8
"pattern_85",14,8,14,10,14,8,6,12
"pattern_129",5,11,15,13,11,9,9,7
"pattern_507",11,13,19,15,7,9,11,13
"pattern_1034",12,14,18,14,12,12,12,12
"pattern_252",16,10,4,8,22,18,14,12
"pattern_266",12,4,8,4,16,10,8,8
"pattern_277",9,11,17,13,11,9,9,9
"pattern_979",18,10,6,8,22,14,12,14
"pattern_1358",16,10,4,8,24,20,12,14
"pattern_343",16,10,10,8,16,12,10,14
"pattern_320",13,9,13,11,13,11,7,11
"pattern_982",6,12,16,14,10,6,8,4
"pattern_570",14,6,10,8,16,12,6,8
"pattern_302",7,13,17,15,11,9,9,7
"pattern_99",10,12,18,14,10,6,8,10
"pattern_49",16,8,4,6,22,16,10,10
"pattern_146",11,9,15,11,11,9,5,9
"pattern_961",20,12,8,12,24,18,14,16
"pattern_535",15,11,13,11,15,13,9,13
"pattern_375",10,16,22,18,8,10,12,14
"pattern_1398",15,7,5,5,21,15,9,13
"pattern_41",4,14,18,14,8,8,10,8
"pattern_1183",18,8,6,8,22,14,12,12
"pattern_1003",16,8,10,8,18,10,8,14
"pattern_35",17,7,5,7,21,15,11,11
"pattern_745",12,10,10,10,16,10,10,10
"pattern_1927",12,4,10,8,16,10,4,8
"pattern_850",11,9,15,13,11,7,7,7
"pattern_1314",15,13,13,13,15,15,11,15
"pattern_1013",5,13,17,13,9,9,9,9
"pattern_910",12,12,18,14,10,8,8,12
"pattern_1203",13,13,13,13,15,13,13,13
"pattern_453",16,12,6,8,22,18,14,14
"pattern_167",8,12,18,14,10,8,8,10
"pattern_1143",7,13,17,13,11,9,11,9
"pattern_1001",12,6,12,8,14,8,4,10
"pattern_97",9,9,13,9,13,9,9,9
"pattern_1163",14,4,8,6,18,12,6,10
"pattern_40",16,10,6,8,22,16,14,12
"pattern_106",14,4,6,4,20,12,8,10
"pattern_176",13,13,15,13,13,13,13,13
"pattern_1399",13,13,19,15,11,11,15,15
"pattern_259",8,10,16,14,8,6,6,6
"pattern_592",14,14,14,14,16,14,12,14
"pattern_513",14,8,12,10,14,10,6,8
"pattern_126",10,10,16,12,10,8,6,10
"pattern_1648",9,11,17,15,11,7,7,7
"pattern_274",16,8,8,6,18,12,8,14
"pattern_635",13,9,9,9,15,13,11,13
"pattern_201",5,13,17,15,9,7,9,5
"pattern_862",16,12,8,10,22,16,14,16
"pattern_1380",18,10,6,10,24,14,12,12
"pattern_1097",7,11,17,15,9,7,7,7
"pattern_799",7,13,17,13,9,9,11,9
"pattern_50",9,9,15,13,9,7,5,7
"pattern_1031",13,9,15,11,13,9,5,11
"pattern_1317",10,8,14,10,10,6,6,8
"pattern_632",13,11,13,11,13,13,9,13
"pattern_1225",8,10,16,12,10,8,8,8
"pattern_2071",9,11,17,13,9,9,9,11
"pattern_1189",14,4,4,4,20,14,8,10
"pattern_1045",11,13,11,11,15,13,13,11
"pattern_237",8,10,16,12,8,8,8,10
"pattern_332",10,8,8,8,18,12,12,10
"pattern_443",18,12,6,10,26,18,14,12
"pattern_744",8,10,14,12,10,8,6,6
"pattern_1323",10,10,16,12,10,6,6,10
"pattern_558",6,14,18,16,10,8,10,6
"pattern_1300",11,7,13,9,13,7,5,11
"pattern_162",9,7,13,9,11,7,5,9
"pattern_1523",9,13,19,15,9,7,13,11
"pattern_788",10,12,18,14,10,8,10,12
"pattern_188",12,12,16,14,12,12,12,12
"pattern_733",9,11,17,13,9,9,7,11
"pattern_878",12,10,10,10,18,12,12,12
"pattern_1032",13,7,13,9,13,9,7,11
"pattern_2325",12,12,16,12,14,12,12,12
"pattern_534",12,8,14,10,12,6,6,10
"pattern_121",10,10,16,12,12,10,4,12
"pattern_1546",14,10,6,8,24,20,12,14
"pattern_1193",14,6,8,6,18,12,8,12
"pattern_551",14,6,4,4,20,14,10,12
"pattern_3344",20,12,8,10,24,16,14,16
"pattern_174",18,8,4,8,22,14,12,12
"pattern_1002",16,10,6,8,22,16,12,12
"pattern_600",12,8,14,12,12,10,6,10
"pattern_1446",9,9,15,11,11,9,9,9
"pattern_431",6,10,16,14,10,8,6,8
"pattern_2676",14,10,10,10,16,14,12,14
"pattern_1115",12,10,10,10,16,10,12,12
"pattern_349",14,8,10,8,18,10,10,12
"pattern_759",12,12,12,12,16,12,12,12
"pattern_460",12,6,10,6,16,10,6,10
"pattern_1571",11,9,15,11,11,9,5,11
"pattern_542",5,13,17,13,9,9,9,9
"pattern_408",12,8,14,10,12,10,4,10
"pattern_25",15,7,5,5,21,15,9,13
"pattern_741",9,11,17,15,9,9,7,9
"pattern_1484",9,11,17,13,7,7,9,11
"pattern_758",14,12,6,8,24,18,14,16
"pattern_1241",5,15,19,15,9,9,11,9
"pattern_2125",9,11,17,13,9,7,11,11
"pattern_27",12,8,14,10,12,8,4,10
"pattern_1235",12,6,12,10,12,6,6,8
"pattern_110",9,11,17,13,11,9,9,9
"pattern_675",13,9,11,9,15,11,7,11
"pattern_1740",14,6,10,6,18,10,8,12
"pattern_834",10,12,18,14,10,10,8,12
"pattern_3021",16,10,8,10,24,16,12,12
"pattern_816",20,12,8,12,26,16,14,14
"pattern_2241",5,11,15,11,11,7,9,7
"pattern_502",17,9,7,7,21,13,9,15
"pattern_820",15,11,11,11,15,13,13,15
"pattern_1359",16,10,6,6,22,16,12,12
"pattern_2431",14,6,2,4,22,16,10,10
"pattern_465",16,6,6,6,20,14,8,10
"pattern_888",11,11,17,13,11,9,13,13
"pattern_641",14,8,10,8,16,12,8,8
"pattern_1199",12,8,8,6,18,14,10,6
"pattern_139",15,5,5,5,19,13,9,9
"pattern_1030",11,13,19,15,11,11,13,13
"pattern_2450",14,14,8,10,24,18,16,14
"pattern_1019",16,10,4,6,22,16,14,12
"pattern_755",9,11,17,13,9,9,9,9
"pattern_528",12,8,12,10,12,8,6,8
"pattern_2216",6,12,16,12,10,8,10,8
"pattern_1266",17,11,9,9,19,11,11,15
"pattern_844",14,10,12,10,14,12,10,14
"pattern_956",10,4,10,6,16,10,4,8
"pattern_1440",16,10,10,8,18,10,10,14
"pattern_1360",11,15,21,17,9,11,13,13
"pattern_814",18,12,8,12,26,20,14,18
"pattern_1222",14,6,6,4,20,14,8,12
"pattern_556",10,12,18,14,8,10,10,12
"pattern_1800",12,10,10,10,14,14,10,12
"pattern_1743",11,13,19,15,11,7,9,11
"pattern_1220",13,5,11,7,15,9,5,11
"pattern_783",9,9,15,11,11,7,5,9
"pattern_3274",13,11,11,11,15,15,11,13
"pattern_601",11,9,9,9,15,13,9,11
"pattern_1454",16,10,4,8,22,18,12,12
"pattern_73",12,6,10,8,14,10,8,8
"pattern_276",8,8,14,10,10,8,4,10
"pattern_1460",16,12,6,8,24,18,14,16
"pattern_644",6,14,18,14,10,10,10,10
"pattern_361",16,10,8,10,22,16,12,14
"pattern_429",12,14,20,16,10,10,12,14
"pattern_604",8,14,20,16,8,8,12,10
"pattern_1026",12,6,12,8,14,8,6,10
"pattern_1769",16,6,4,6,20,14,10,10
"pattern_1917",13,7,13,9,15,9,5,11
"pattern_663",17,9,9,9,19,11,9,15
"pattern_235",16,8,8,8,20,12,8,14
"pattern_246",10,10,12,10,14,10,10,10
"pattern_503",18,10,6,10,22,16,14,14
"pattern_879",6,12,18,14,8,8,8,10
"pattern_1787",7,13,19,15,9,9,9,11
"pattern_868",6,14,18,14,10,10,10,10
"pattern_636",12,8,14,12,12,8,4,10
"pattern_1328",17,9,7,7,19,13,9,15
"pattern_997",8,12,16,12,12,10,10,8
"pattern_1087",12,12,18,14,10,10,10,14
"pattern_2257",6,12,16,14,10,8,10,6
"pattern_325",14,12,14,12,14,14,10,14
"pattern_958",12,6,10,8,16,12,10,6
"pattern_150",16,8,6,8,24,18,10,14
"pattern_386",16,10,6,8,24,14,14,10
"pattern_337",10,12,18,14,10,8,10,12
"pattern_824",18,12,10,12,24,18,14,16
"pattern_241",18,14,10,14,26,18,16,16
"pattern_1766",16,16,10,12,26,18,18,16
"pattern_1185",11,15,21,17,9,9,15,13
"pattern_1439",10,12,18,14,12,10,10,12
"pattern_79",6,10,14,12,12,8,8,6
"pattern_706",16,10,6,8,24,18,12,16
"pattern_1133",8,14,20,16,8,6,12,10
"pattern_2320",12,4,10,6,18,10,6,10
"pattern_482",12,12,18,14,10,10,6,14
"pattern_806",18,12,10,12,22,16,12,16
"pattern_358",14,14,8,10,24,20,14,16
"pattern_1050",9,9,15,11,9,7,7,9
"pattern_1066",16,6,6,8,22,14,8,12
"pattern_1772",16,12,8,10,24,16,14,14
"pattern_493",11,9,15,11,11,7,5,9
"pattern_516",12,10,12,10,14,10,10,10
"pattern_856",15,11,11,9,15,13,9,13
"pattern_435",10,12,18,14,10,6,10,12
"pattern_1107",14,10,10,10,16,14,10,14
"pattern_2042",16,10,6,8,24,16,12,16
"pattern_2332",16,12,12,12,16,14,12,16
"pattern_1261",10,4,8,6,16,12,4,6
"pattern_214",14,12,6,8,24,20,14,16
"pattern_461",12,14,20,16,10,10,12,14
"pattern_999",9,15,21,17,7,9,11,13
"pattern_336",13,9,9,9,15,11,11,13
"pattern_696",15,9,7,7,21,13,11,13
"pattern_1452",13,7,7,7,17,11,9,11
"pattern_1062",12,4,10,8,14,8,6,6
"pattern_227",12,8,14,12,14,10,4,10
"pattern_1761",12,8,10,8,16,12,10,6
"pattern_2068",10,8,14,10,12,8,4,8
"pattern_2006",12,4,8,6,16,12,8,6
"pattern_576",7,13,19,15,7,7,11,9
"pattern_1513",18,14,8,10,24,18,16,16
"pattern_1038",16,10,8,8,24,16,12,16
"pattern_738",15,5,3,5,21,15,9,11
"pattern_1264",18,10,6,8,22,16,10,12
"pattern_1134",9,13,19,15,9,11,9,11
"pattern_2090",16,10,6,8,26,16,12,12
"pattern_688",14,4,4,6,20,14,8,10
"pattern_864",12,6,10,8,18,10,8,10
"pattern_1534",4,12,16,12,10,8,10,8
"pattern_328",16,8,6,6,20,14,10,12
"pattern_1018",10,10,14,12,12,8,8,6
"pattern_245",14,12,12,12,18,14,12,14
"pattern_155",11,11,17,13,13,11,9,11
"pattern_4019",14,10,10,8,16,12,8,12
"pattern_2404",13,11,17,13,11,9,7,13
"pattern_573",17,9,9,7,19,11,9,15
"pattern_500",12,12,14,12,14,12,12,12
"pattern_1673",11,9,13,9,11,11,9,11
"pattern_3189",6,10,16,12,8,8,6,10
"pattern_1012",22,16,10,14,22,22,16,18
"pattern_2448",12,2,8,6,18,10,6,8
"pattern_468",16,10,4,8,24,16,12,10
"pattern_1173",14,8,12,10,16,8,6,12
"pattern_987",10,10,16,12,12,10,8,10
"pattern_420",18,14,10,12,26,16,16,16
"pattern_555",18,10,6,10,24,14,14,12
"pattern_811",16,12,6,10,26,18,14,14
"pattern_1256",18,12,6,10,24,16,12,12
"pattern_614",14,6,8,6,20,12,10,8
"pattern_2305",16,6,4,6,22,16,8,12
"pattern_2280",16,12,6,10,24,18,12,10
"pattern_119",20,10,8,10,24,16,12,14
"pattern_105",8,10,16,14,8,8,6,8
"pattern_275",11,11,11,11,17,13,11,11
"pattern_616",9,15,21,17,9,7,11,11
"pattern_221",14,4,10,8,16,10,6,8
"pattern_2461",15,11,11,11,15,13,9,13
"pattern_2033",14,12,8,8,24,18,14,16
"pattern_1796",15,13,13,13,13,15,13,15
"pattern_360",11,9,15,11,11,11,7,11
"pattern_1088",18,12,6,10,24,20,14,14
"pattern_295",18,14,8,10,26,16,16,14
"pattern_1307",18,10,4,8,24,18,14,12
"pattern_2210",12,10,16,12,12,6,8,12
"pattern_47",12,8,8,6,20,14,10,6
"pattern_1099",13,7,13,9,13,11,5,11
"pattern_1803",14,8,10,8,16,12,10,8
"pattern_1633",14,6,10,8,18,10,6,12
"pattern_1192",14,8,8,10,16,12,8,10
"pattern_2128",10,14,20,16,10,12,12,14
"pattern_2929",16,8,4,6,22,16,10,14
"pattern_1558",14,10,6,8,22,18,14,12
"pattern_1304",14,6,10,8,16,10,4,10
"pattern_1267",20,10,6,10,24,18,12,14
"pattern_1544",16,8,6,6,20,12,12,12
"pattern_193",10,8,14,12,10,6,6,6
"pattern_377",7,9,15,13,11,7,7,7
"pattern_267",18,10,6,8,24,18,12,12
"pattern_2509",9,11,17,13,11,9,7,9
"pattern_1055",16,12,8,10,26,16,14,16
"pattern_773",18,12,8,10,22,16,12,14
"pattern_168",16,12,8,8,24,14,14,12
"pattern_318",12,12,18,14,10,10,12,12
"pattern_750",10,4,10,8,14,8,8,6
"pattern_2048",8,8,14,10,10,6,6,8
"pattern_3301",14,8,8,8,16,10,10,12
"pattern_6",12,16,22,18,8,10,14,14
"pattern_612",12,8,10,8,18,12,12,6
"pattern_2921",5,13,17,13,11,9,9,9
"pattern_1627",20,12,8,12,22,16,12,16
"pattern_582",12,4,6,4,18,12,8,10
"pattern_1900",14,14,10,10,24,16,16,14
"pattern_157",8,10,16,12,8,8,6,10
"pattern_122",16,10,8,8,18,12,10,14
"pattern_495",12,6,10,6,18,10,8,10
"pattern_2520",9,9,15,11,11,9,3,11
"pattern_1760",8,12,18,14,6,8,8,10
"pattern_62",13,13,13,13,15,13,11,13
"pattern_969",15,7,9,7,17,11,7,13
"pattern_3542",12,8,8,8,18,10,10,10
"pattern_1332",18,12,6,8,24,18,14,14
"pattern_2212",12,4,6,4,18,14,8,6
"pattern_185",16,10,10,10,16,12,10,14
"pattern_4012",10,4,10,8,14,8,6,8
"pattern_1538",12,10,10,10,18,12,10,12
"pattern_417",12,4,8,6,18,12,6,10
"pattern_1577",10,10,16,12,10,10,6,10
"pattern_1427",14,8,6,6,22,14,12,8
"pattern_1120",14,10,4,8,24,20,12,14
"pattern_3122",6,12,18,14,8,6,8,8
"pattern_1509",18,14,8,12,26,18,16,14
"pattern_2349",10,6,12,8,14,8,6,10
"pattern_2717",14,6,12,10,16,10,4,10
"pattern_1493",16,8,6,8,22,14,10,12
"pattern_17",15,11,11,11,15,13,11,13
"pattern_1698",14,10,16,12,12,8,8,14
"pattern_3175",15,11,11,11,17,15,11,15
"pattern_536",9,13,19,15,7,7,11,11
"pattern_1081",11,7,13,11,13,9,3,9
"pattern_2699",18,8,8,10,20,12,8,14
"pattern_2271",8,14,18,14,10,12,10,10
"pattern_481",14,8,12,10,14,10,8,10
"pattern_483",13,13,17,15,13,13,13,13
"pattern_774",19,9,7,9,21,13,9,15
"pattern_1566",9,11,17,13,9,7,7,9
"pattern_1247",14,6,4,4,20,16,10,8
"pattern_2035",10,14,20,16,10,10,10,12
"pattern_346",14,4,8,6,18,10,8,8
"pattern_991",8,12,16,12,10,10,10,8
"pattern_1254",18,14,10,14,24,16,14,16
"pattern_854",12,6,6,4,18,12,10,6
"pattern_488",12,6,10,8,18,12,8,6
"pattern_2627",18,12,8,12,24,18,12,18
"pattern_866",10,12,18,14,12,10,8,10
"pattern_1262",14,8,6,6,20,14,12,8
"pattern_3599",12,14,20,16,8,10,10,14
"pattern_1599",13,11,11,11,17,13,11,13
"pattern_983",15,13,13,13,17,13,13,15
"pattern_1699",13,9,9,9,17,13,9,13
"pattern_3075",10,12,10,10,16,12,12,10
"pattern_1017",15,7,3,5,21,15,11,9
"pattern_1198",18,12,8,10,24,18,14,14
"pattern_1140",18,14,10,12,22,16,14,18
"pattern_1102",14,8,12,10,14,10,8,12
"pattern_3207",18,12,8,10,26,18,14,18
"pattern_7134",11,13,19,15,11,9,9,11
"pattern_1191",14,6,8,6,18,14,10,8
"pattern_1554",16,8,6,8,24,14,10,12
"pattern_1077",16,10,4,8,24,18,12,14
"pattern_3116",16,8,6,6,20,16,12,10
"pattern_3595",14,4,10,8,16,10,8,8
"pattern_800",12,4,10,8,16,10,2,8
"pattern_2303",12,4,10,8,14,8,8,8
"pattern_4041",16,12,8,10,22,18,12,14
"pattern_75",11,13,19,15,11,7,11,13
"pattern_3709",7,11,17,13,9,7,9,9
"pattern_1603",10,12,18,14,10,10,12,12
"pattern_1805",10,6,10,8,14,10,6,4
"pattern_207",7,11,17,13,7,7,7,9
"pattern_1391",10,6,10,8,16,12,8,4
"pattern_2013",8,12,18,16,10,6,8,6
"pattern_661",14,12,8,10,26,18,14,14
"pattern_3884",17,9,5,7,23,15,11,15
"pattern_2695",13,5,11,9,15,9,3,9
"pattern_628",10,8,14,10,10,8,6,10
"pattern_899",14,12,8,8,22,18,14,14
"pattern_950",10,6,10,8,14,10,6,6
"pattern_768",9,9,15,13,9,9,5,9
