global_participant_key,dataset_source,source_survey,source_file,source_row,participant_key,age_raw,gender_raw,country_raw,country_code,diego_scale_assumption,diego_noise_added,diego_noise_sd,diego__q1,diego__q2,diego__q3,diego__q4,diego__q5,diego__q6,diego__q7,diego__q21_1,diego__q21_2,diego__q21_3,diego__q21_4,diego__q21_5,diego__q21_6,diego__q21_7,diego__q21_8,diego__q22_1,diego__q22_2,diego__q22_3,diego__q22_4,diego__q22_5,diego__q22_6,diego__q22_7,diego__q22_8,diego__q23_1,diego__q23_2,diego__q23_3,diego__q23_4,diego__q23_5,diego__q23_6,diego__q23_7,diego__q23_8,diego__q24_1,diego__q24_2,diego__q24_3,diego__q24_4,diego__q24_5,diego__q24_6,diego__q24_7,diego__q24_8,diego_det_01_0_100,diego_det_02_0_100,diego_det_03_0_100,diego_det_04_0_100,diego_det_05_0_100,diego_det_06_0_100,diego_det_07_0_100,diego_det_08_0_100,diego_det_09_0_100,diego_det_10_0_100,diego_det_11_0_100,diego_det_12_0_100,diego_det_13_0_100,diego_det_14_0_100,diego_det_15_0_100,diego_det_16_0_100,diego_det_17_0_100,diego_det_18_0_100,diego_det_19_0_100,diego_det_20_0_100,diego_det_21_0_100,diego_det_22_0_100,diego_det_23_0_100,diego_det_24_0_100,diego_det_25_0_100,diego_det_26_0_100,diego_det_27_0_100,diego_det_28_0_100,diego_det_29_0_100,diego_det_30_0_100,diego_det_31_0_100,diego_det_32_0_100
diego__diego_11,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,11,diego_11,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,Master's degree,Paid employee (public sector),2,"50,000 - 100,000 euros per year",4,4,3,3,3,3,3,4,4,3,4,3,3,2,4,4,4,4,3,3,3,3,2,3,3,3,4,3,3,2,3,3,75,75,50,50,50,50,50,75,75,50,75,50,50,25,75,75,75,75,50,50,50,50,25,50,50,50,75,50,50,25,50,50
diego__diego_12,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,12,diego_12,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,Master's degree,Self-employed,1,"20,000 - 49,999 euros per year",3,2,4,4,2,4,4,5,3,5,4,3,4,5,5,5,5,5,3,3,4,3,4,2,3,4,2,1,3,2,2,3,50,25,75,75,25,75,75,100,50,100,75,50,75,100,100,100,100,100,50,50,75,50,75,25,50,75,25,0,50,25,25,50
diego__diego_13,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,13,diego_13,26-39,Female,Greece,GR,1_5,FALSE,NA,26-39,Female,Greece,Master's degree,Paid employee (private sector),3,"Less than 20,000 euros per year",1,1,3,4,1,4,3,5,3,4,5,3,4,4,5,5,5,4,2,2,3,2,4,3,1,3,4,1,1,1,1,5,0,0,50,75,0,75,50,100,50,75,100,50,75,75,100,100,100,75,25,25,50,25,75,50,0,50,75,0,0,0,0,100
diego__diego_14,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,14,diego_14,40-59,Female,Italy,IT,1_5,FALSE,NA,40-59,Female,Italy,Master's degree,Paid employee (private sector),2,I prefer not to say,1,1,3,3,1,4,4,5,3,4,4,2,3,5,4,5,5,3,3,3,4,1,1,2,2,4,3,1,1,2,1,5,0,0,50,50,0,75,75,100,50,75,75,25,50,100,75,100,100,50,50,50,75,0,0,25,25,75,50,0,0,25,0,100
diego__diego_15,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,15,diego_15,60 or older,Male,Greece,GR,1_5,FALSE,NA,60 or older,Male,Greece,Undergraduate (Bachelor's) degree,Paid employee (private sector),2,"20,000 - 49,999 euros per year",2,1,4,4,1,5,4,5,5,4,4,1,4,4,5,4,5,4,5,5,4,2,5,3,3,4,3,3,2,2,2,4,25,0,75,75,0,100,75,100,100,75,75,0,75,75,100,75,100,75,100,100,75,25,100,50,50,75,50,50,25,25,25,75
diego__diego_16,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,16,diego_16,26-39,Male,Spain,ES,1_5,FALSE,NA,26-39,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),2,"20,000 - 49,999 euros per year",2,3,3,4,3,4,4,5,4,4,4,3,4,4,4,4,4,3,3,3,3,4,3,2,3,3,4,2,2,2,2,2,25,50,50,75,50,75,75,100,75,75,75,50,75,75,75,75,75,50,50,50,50,75,50,25,50,50,75,25,25,25,25,25
diego__diego_17,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,17,diego_17,26-39,Male,Spain,ES,1_5,FALSE,NA,26-39,Male,Spain,Secondary or high school diploma,Paid employee (private sector),1,"Less than 20,000 euros per year",4,3,3,4,3,3,3,3,3,4,3,4,3,3,4,4,4,4,3,4,3,4,5,4,4,4,3,4,4,3,3,3,75,50,50,75,50,50,50,50,50,75,50,75,50,50,75,75,75,75,50,75,50,75,100,75,75,75,50,75,75,50,50,50
diego__diego_18,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,18,diego_18,60 or older,Male,Other EU country,NA,1_5,FALSE,NA,60 or older,Male,Other EU country,Master's degree,Retired,1,"20,000 - 49,999 euros per year",3,3,2,4,2,4,3,5,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,3,4,1,3,2,2,2,4,50,50,25,75,25,75,50,100,75,75,75,75,75,75,75,75,75,75,50,25,50,25,50,25,50,75,0,50,25,25,25,75
diego__diego_19,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,19,diego_19,26-39,Male,Italy,IT,1_5,FALSE,NA,26-39,Male,Italy,Secondary or high school diploma,Not working (unemployed),2,"Less than 20,000 euros per year",3,4,4,4,3,3,3,3,4,4,5,4,4,4,4,4,4,4,3,3,4,1,1,1,2,4,4,2,1,3,3,4,50,75,75,75,50,50,50,50,75,75,100,75,75,75,75,75,75,75,50,50,75,0,0,0,25,75,75,25,0,50,50,75
diego__diego_20,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,20,diego_20,18-25,Female,Italy,IT,1_5,FALSE,NA,18-25,Female,Italy,Secondary or high school diploma,Student,None,I prefer not to say,3,3,2,3,2,2,3,3,4,3,4,1,2,2,4,4,5,4,4,4,4,3,4,4,2,2,2,3,3,3,4,4,50,50,25,50,25,25,50,50,75,50,75,0,25,25,75,75,100,75,75,75,75,50,75,75,25,25,25,50,50,50,75,75
diego__diego_21,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,21,diego_21,40-59,Female,Spain,ES,1_5,FALSE,NA,40-59,Female,Spain,Undergraduate (Bachelor's) degree,Paid employee (public sector),1,"Less than 20,000 euros per year",1,1,2,5,4,3,4,4,5,3,4,4,3,4,3,5,5,4,5,5,4,1,1,1,4,5,3,1,1,4,1,5,0,0,25,100,75,50,75,75,100,50,75,75,50,75,50,100,100,75,100,100,75,0,0,0,75,100,50,0,0,75,0,100
diego__diego_22,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,22,diego_22,40-59,Female,Greece,GR,1_5,FALSE,NA,40-59,Female,Greece,PhD,Paid employee (private sector),3,"Less than 20,000 euros per year",3,2,3,3,2,2,2,3,3,3,2,3,3,3,3,1,3,2,3,3,2,3,3,3,4,4,4,4,3,3,3,4,50,25,50,50,25,25,25,50,50,50,25,50,50,50,50,0,50,25,50,50,25,50,50,50,75,75,75,75,50,50,50,75
diego__diego_23,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,23,diego_23,26-39,Male,Spain,ES,1_5,FALSE,NA,26-39,Male,Spain,Vocational training,Paid employee (private sector),3,"20,000 - 49,999 euros per year",4,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,4,3,3,3,3,2,2,2,3,3,2,2,2,3,2,3,75,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,75,50,50,50,50,25,25,25,50,50,25,25,25,50,25,50
diego__diego_24,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,24,diego_24,26-39,Male,Spain,ES,1_5,FALSE,NA,26-39,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (public sector),None,"20,000 - 49,999 euros per year",2,2,1,4,2,2,2,2,2,2,2,3,3,3,3,4,4,2,2,2,3,3,2,1,3,2,2,2,1,1,1,3,25,25,0,75,25,25,25,25,25,25,25,50,50,50,50,75,75,25,25,25,50,50,25,0,50,25,25,25,0,0,0,50
diego__diego_25,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,25,diego_25,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,PhD,Paid employee (public sector),3,"20,000 - 49,999 euros per year",1,1,1,1,1,4,1,5,3,1,3,3,4,4,4,4,4,1,1,1,3,1,3,1,3,1,2,1,1,1,1,5,0,0,0,0,0,75,0,100,50,0,50,50,75,75,75,75,75,0,0,0,50,0,50,0,50,0,25,0,0,0,0,100
diego__diego_26,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,26,diego_26,18-25,Male,Italy,IT,1_5,FALSE,NA,18-25,Male,Italy,Undergraduate (Bachelor's) degree,Student,None,"20,000 - 49,999 euros per year",2,2,2,3,2,4,3,4,3,3,4,3,3,3,3,3,4,2,3,3,3,2,3,3,3,4,3,2,1,3,2,4,25,25,25,50,25,75,50,75,50,50,75,50,50,50,50,50,75,25,50,50,50,25,50,50,50,75,50,25,0,50,25,75
diego__diego_27,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,27,diego_27,26-39,Female,Spain,ES,1_5,FALSE,NA,26-39,Female,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),3,"50,000 - 100,000 euros per year",2,2,3,3,3,3,3,3,3,4,4,4,3,4,4,4,5,3,3,3,4,4,3,2,3,2,3,2,2,3,2,4,25,25,50,50,50,50,50,50,50,75,75,75,50,75,75,75,100,50,50,50,75,75,50,25,50,25,50,25,25,50,25,75
diego__diego_28,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,28,diego_28,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),2,"20,000 - 49,999 euros per year",3,4,3,3,1,4,4,4,4,4,3,4,4,5,4,5,5,4,5,5,4,4,4,5,4,5,2,2,2,1,1,4,50,75,50,50,0,75,75,75,75,75,50,75,75,100,75,100,100,75,100,100,75,75,75,100,75,100,25,25,25,0,0,75
diego__diego_29,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,29,diego_29,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),2,"20,000 - 49,999 euros per year",3,3,1,2,5,3,3,3,4,3,3,3,2,2,4,2,2,1,4,4,1,1,2,1,1,1,2,1,1,2,1,2,50,50,0,25,100,50,50,50,75,50,50,50,25,25,75,25,25,0,75,75,0,0,25,0,0,0,25,0,0,25,0,25
diego__diego_30,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,30,diego_30,18-25,Male,Italy,IT,1_5,FALSE,NA,18-25,Male,Italy,Undergraduate (Bachelor's) degree,Self-employed,None,"20,000 - 49,999 euros per year",4,3,3,3,3,2,3,3,3,3,4,2,3,3,4,4,4,3,3,3,3,3,2,2,2,4,4,2,2,2,2,2,75,50,50,50,50,25,50,50,50,50,75,25,50,50,75,75,75,50,50,50,50,50,25,25,25,75,75,25,25,25,25,25
diego__diego_31,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,31,diego_31,18-25,Male,Spain,ES,1_5,FALSE,NA,18-25,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),None,"20,000 - 49,999 euros per year",3,3,3,2,2,2,4,4,2,4,3,3,2,2,3,4,4,4,3,3,3,1,3,3,3,5,4,4,1,4,1,5,50,50,50,25,25,25,75,75,25,75,50,50,25,25,50,75,75,75,50,50,50,0,50,50,50,100,75,75,0,75,0,100
diego__diego_32,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,32,diego_32,26-39,Male,Greece,GR,1_5,FALSE,NA,26-39,Male,Greece,Undergraduate (Bachelor's) degree,Not working (unemployed),None,"Less than 20,000 euros per year",3,3,4,4,4,5,4,3,4,2,3,3,4,3,4,3,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,4,50,50,75,75,75,100,75,50,75,25,50,50,75,50,75,50,75,50,50,50,50,50,50,75,50,75,50,75,50,50,50,75
diego__diego_33,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,33,diego_33,40-59,Male,Spain,ES,1_5,FALSE,NA,40-59,Male,Spain,Undergraduate (Bachelor's) degree,Paid employee (private sector),1,"Less than 20,000 euros per year",4,1,3,3,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,4,4,4,4,5,4,3,3,3,3,3,4,75,0,50,50,75,75,75,75,75,75,75,75,50,75,75,75,100,75,75,75,75,75,75,75,100,75,50,50,50,50,50,75
diego__diego_34,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,34,diego_34,26-39,Male,Greece,GR,1_5,FALSE,NA,26-39,Male,Greece,Undergraduate (Bachelor's) degree,Paid employee (private sector),None,"Less than 20,000 euros per year",3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,3,3,4,3,4,3,3,2,3,3,4,1,1,2,1,3,50,50,50,50,50,50,75,75,75,75,75,50,75,50,75,75,50,50,75,50,75,50,50,25,50,50,75,0,0,25,0,50
diego__diego_35,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,35,diego_35,18-25,Male,Italy,IT,1_5,FALSE,NA,18-25,Male,Italy,Undergraduate (Bachelor's) degree,Student,None,"Less than 20,000 euros per year",2,2,3,4,2,4,3,4,4,4,4,3,2,4,4,4,4,4,4,4,4,4,2,4,3,4,3,3,2,4,4,4,25,25,50,75,25,75,50,75,75,75,75,50,25,75,75,75,75,75,75,75,75,75,25,75,50,75,50,50,25,75,75,75
diego__diego_36,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,36,diego_36,40-59,Female,Spain,ES,1_5,FALSE,NA,40-59,Female,Spain,Secondary or high school diploma,Paid employee (private sector),2,"20,000 - 49,999 euros per year",2,4,4,5,1,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,2,2,2,5,2,2,1,2,2,2,4,25,75,75,100,0,100,100,100,100,100,100,75,75,100,100,100,100,75,100,100,100,25,25,25,100,25,25,0,25,25,25,75
diego__diego_37,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,37,diego_37,40-59,Female,Italy,IT,1_5,FALSE,NA,40-59,Female,Italy,Secondary or high school diploma,Not working (unemployed),3,"Less than 20,000 euros per year",5,5,3,5,5,3,5,5,5,5,5,5,3,3,5,5,5,5,5,5,3,1,3,1,3,5,5,1,1,1,1,5,100,100,50,100,100,50,100,100,100,100,100,100,50,50,100,100,100,100,100,100,50,0,50,0,50,100,100,0,0,0,0,100
diego__diego_38,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,38,diego_38,18-25,Male,Spain,ES,1_5,FALSE,NA,18-25,Male,Spain,Secondary or high school diploma,Student,None,"50,000 - 100,000 euros per year",2,2,4,4,2,3,3,4,4,5,2,3,2,4,4,4,4,3,5,4,3,3,4,3,3,4,4,2,2,3,2,4,25,25,75,75,25,50,50,75,75,100,25,50,25,75,75,75,75,50,100,75,50,50,75,50,50,75,75,25,25,50,25,75
diego__diego_39,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,39,diego_39,26-39,Female,Italy,IT,1_5,FALSE,NA,26-39,Female,Italy,Undergraduate (Bachelor's) degree,Student,None,"Less than 20,000 euros per year",2,4,2,2,2,3,3,4,4,2,4,2,2,2,2,2,5,2,3,3,2,3,3,3,2,4,4,1,1,1,1,3,25,75,25,25,25,50,50,75,75,25,75,25,25,25,25,25,100,25,50,50,25,50,50,50,25,75,75,0,0,0,0,50
diego__diego_40,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,40,diego_40,60 or older,Female,Greece,GR,1_5,FALSE,NA,60 or older,Female,Greece,Undergraduate (Bachelor's) degree,Paid employee (private sector),2,"20,000 - 49,999 euros per year",4,4,4,5,4,5,4,5,5,4,4,4,3,4,5,4,4,4,4,4,4,3,4,3,3,4,4,4,2,3,3,3,75,75,75,100,75,100,75,100,100,75,75,75,50,75,100,75,75,75,75,75,75,50,75,50,50,75,75,75,25,50,50,50
diego__diego_41,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,41,diego_41,18-25,Female,Greece,GR,1_5,FALSE,NA,18-25,Female,Greece,Undergraduate (Bachelor's) degree,Not working (unemployed),None,"20,000 - 49,999 euros per year",2,3,3,3,3,4,2,4,5,3,3,4,4,3,5,5,4,3,4,4,3,2,2,4,2,4,5,4,1,4,2,5,25,50,50,50,50,75,25,75,100,50,50,75,75,50,100,100,75,50,75,75,50,25,25,75,25,75,100,75,0,75,25,100
diego__diego_42,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,42,diego_42,18-25,Male,Italy,IT,1_5,FALSE,NA,18-25,Male,Italy,Undergraduate (Bachelor's) degree,Student,None,I prefer not to say,1,2,3,4,2,4,3,4,4,4,5,2,3,4,5,4,5,3,2,2,2,2,1,1,1,4,3,3,1,3,1,4,0,25,50,75,25,75,50,75,75,75,100,25,50,75,100,75,100,50,25,25,25,25,0,0,0,75,50,50,0,50,0,75
diego__diego_43,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,43,diego_43,26-39,Female,Italy,IT,1_5,FALSE,NA,26-39,Female,Italy,Master's degree,Paid employee (private sector),None,"Less than 20,000 euros per year",4,5,4,4,4,5,5,4,5,4,4,4,4,5,4,4,4,3,3,4,4,5,5,5,4,4,2,1,2,4,4,4,75,100,75,75,75,100,100,75,100,75,75,75,75,100,75,75,75,50,50,75,75,100,100,100,75,75,25,0,25,75,75,75
diego__diego_44,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,44,diego_44,26-39,Male,Italy,IT,1_5,FALSE,NA,26-39,Male,Italy,Undergraduate (Bachelor's) degree,Self-employed,1,"50,000 - 100,000 euros per year",1,2,1,1,1,4,2,4,4,1,2,2,1,2,3,3,4,4,5,5,3,1,2,1,4,1,1,2,1,1,2,4,0,25,0,0,0,75,25,75,75,0,25,25,0,25,50,50,75,75,100,100,50,0,25,0,75,0,0,25,0,0,25,75
diego__diego_45,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,45,diego_45,40-59,Female,Italy,IT,1_5,FALSE,NA,40-59,Female,Italy,Undergraduate (Bachelor's) degree,Paid employee (private sector),1,"50,000 - 100,000 euros per year",1,1,2,5,2,5,4,5,4,3,4,4,3,3,3,4,3,2,2,3,5,2,2,3,2,4,2,2,2,3,2,4,0,0,25,100,25,100,75,100,75,50,75,75,50,50,50,75,50,25,25,50,100,25,25,50,25,75,25,25,25,50,25,75
diego__diego_46,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,46,diego_46,18-25,Female,Greece,GR,1_5,FALSE,NA,18-25,Female,Greece,Undergraduate (Bachelor's) degree,Paid employee (private sector),1,"Less than 20,000 euros per year",4,3,3,2,3,4,3,2,3,2,3,3,2,4,3,3,3,2,3,4,3,3,4,4,3,4,3,3,2,3,4,3,75,50,50,25,50,75,50,25,50,25,50,50,25,75,50,50,50,25,50,75,50,50,75,75,50,75,50,50,25,50,75,50
diego__diego_47,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,47,diego_47,40-59,Female,Italy,IT,1_5,FALSE,NA,40-59,Female,Italy,Master's degree,Paid employee (private sector),2,"50,000 - 100,000 euros per year",3,4,2,4,4,5,3,3,3,4,4,3,3,4,4,4,5,4,3,4,3,1,1,1,1,3,3,1,1,3,1,5,50,75,25,75,75,100,50,50,50,75,75,50,50,75,75,75,100,75,50,75,50,0,0,0,0,50,50,0,0,50,0,100
diego__diego_48,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,48,diego_48,18-25,Female,Greece,GR,1_5,FALSE,NA,18-25,Female,Greece,Undergraduate (Bachelor's) degree,Paid employee (public sector),None,"Less than 20,000 euros per year",1,2,1,1,3,4,1,5,1,4,5,1,4,2,3,4,4,1,1,1,1,1,1,1,1,4,4,3,3,1,1,3,0,25,0,0,50,75,0,100,0,75,100,0,75,25,50,75,75,0,0,0,0,0,0,0,0,75,75,50,50,0,0,50
diego__diego_49,diego,Survey_September2023_cleaned,Survey_September2023_cleaned.xlsx,49,diego_49,26-39,Male,Italy,IT,1_5,FALSE,NA,26-39,Male,Italy,Undergraduate (Bachelor's) degree,Paid employee (private sector),2,"Less than 20,000 euros per year",3,1,1,4,1,4,1,4,5,4,3,2,4,4,5,3,4,1,4,4,3,2,2,5,3,4,1,1,1,1,2,3,50,0,0,75,0,75,0,75,100,75,50,25,75,75,100,50,75,0,75,75,50,25,25,100,50,75,0,0,0,0,25,50
