"archetype_id","cluster","frequency"
15157,8,959
15582,8,5
15811,8,212
16210,8,25
16234,8,65
16406,8,1
16578,8,2
16886,8,2
17384,8,9
17462,8,1
17711,8,12
17718,8,3175
17740,8,38
18007,8,45
18088,8,1
18432,8,189
