n_participants,model_type,model_label,term,term_label,tipo_termino,n_boot_with_term,n_significant,mean_estimate,sd_estimate,mean_p_value,median_p_value,n_ok_models,significance_rate,conditional_significance_rate,term_presence_rate
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_POPULARITY,Dimensión: Popularidad,Dimensión,5,4,0.09422003172934208,0.04747801752077918,0.11336855175036893,0.01401088427854604,5,0.8,0.8,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Materialidad,Interacción,5,4,-0.11258465924710534,0.07656676252309305,0.15766477216875804,5.947467947286087e-4,5,0.8,0.8,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_POPULARITY,Arquetipo: G3 Fearful Careful x Dimensión: Popularidad,Interacción,5,4,-0.10658744559455445,0.07046601207329138,0.17187140870155201,0.01905099296109294,5,0.8,0.8,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer,Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,5,3,12.837149653799852,6.216826136747112,0.04863677329599347,0.0029778935316988105,5,0.6,0.6,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_MEANING,Dimensión: Significado,Dimensión,5,3,0.10344958875095618,0.028880391961202706,0.054533465475595226,0.02152585198166275,5,0.6,0.6,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_COMPETENCE,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Competencia,Interacción,5,3,-0.13027869523426222,0.05129274517124779,0.07046645907570968,0.010092785097143283,5,0.6,0.6,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,Arquetipo: G3 Fearful Careful x Dimensión: Seguridad financiera,Interacción,5,3,0.12672943735055214,0.05762599265519618,0.09956488697298392,0.008411288267110335,5,0.6,0.6,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Estímulo,Interacción,5,3,-0.1089131974511604,0.05340234156113419,0.14378316126208637,0.01046187451114246,5,0.6,0.6,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,Arquetipo: G4 HomoEconomicus x Dimensión: Estímulo,Interacción,5,3,0.15861882134451594,0.10114339663228998,0.20213952172177294,0.03448919460512996,5,0.6,0.6,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_POPULARITY,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Popularidad,Interacción,5,2,-0.1024803939678944,0.05019288638414867,0.08647272117316188,0.11023460999453143,5,0.4,0.4,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus,Arquetipo: G4 HomoEconomicus,Arquetipo,5,2,13.298192089345235,4.391253170862966,0.10111052964250064,0.06889594262737377,5,0.4,0.4,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested,Arquetipo: G5 Uninterested,Arquetipo,5,2,20.323594084515033,11.883103375632814,0.16638642218294739,0.19353248105380322,5,0.4,0.4,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Significado,Interacción,5,2,0.08921796405348532,0.08102011520865497,0.33206999133681075,0.1001044168070975,5,0.4,0.4,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_SECURITY,Arquetipo: G4 HomoEconomicus x Dimensión: Seguridad,Interacción,5,2,0.10562057785553836,0.10095683188998329,0.41065155745126225,0.15971760585075598,5,0.4,0.4,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_PHYSIOLOGICAL,Dimensión: Materialidad,Dimensión,5,1,0.05242697261705035,0.05798261251141529,0.11124916541084881,0.06992500701130104,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_COMPETENCE,Arquetipo: G4 HomoEconomicus x Dimensión: Competencia,Interacción,5,1,-0.1297066240678092,0.035820495144638344,0.12496072878842847,0.10881972658486448,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_POPULARITY,Arquetipo: G4 HomoEconomicus x Dimensión: Popularidad,Interacción,5,1,-0.014315443533735562,0.14373004490318736,0.19901074762827903,0.15848876514937776,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Autonomía,Interacción,5,1,-0.030363808951817676,0.07368721215664921,0.29601300089018384,0.15853207930797997,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,Arquetipo: G4 HomoEconomicus x Dimensión: Autonomía,Interacción,5,1,0.0132296814246131,0.11044852854016474,0.32451506500764504,0.3623119788465065,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_MEANING,Arquetipo: G4 HomoEconomicus x Dimensión: Significado,Interacción,5,1,-0.09684192233824555,0.06091427914420043,0.3454112979903355,0.25849470985567863,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_SECURITY,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Seguridad,Interacción,5,1,-0.013970630092758464,0.08419801422041277,0.35225993907452974,0.2521901798172507,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_POPULARITY,Arquetipo: G5 Uninterested x Dimensión: Popularidad,Interacción,5,1,0.043135846290852466,0.14459695156322983,0.3610990083857694,0.18923733278241978,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_SECURITY,Arquetipo: G3 Fearful Careful x Dimensión: Seguridad,Interacción,5,1,-0.05078946922903372,0.06568579774257115,0.3859340018776841,0.2501374110783024,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G2_EarlyAdopter_Influencer:z_RELATEDNESS,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Vinculación,Interacción,5,1,-0.0716404171114876,0.07886480900128927,0.38892564672452523,0.30758150848823196,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_MEANING,Arquetipo: G3 Fearful Careful x Dimensión: Significado,Interacción,5,1,-0.06946770412914374,0.05917177492813396,0.3903659540703019,0.3027936721581795,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,Arquetipo: G4 HomoEconomicus x Dimensión: Materialidad,Interacción,5,1,-0.034473377641983424,0.058154849638352595,0.49616461598393746,0.5253229773151737,5,0.2,0.2,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_RELATEDNESS,Arquetipo: G4 HomoEconomicus x Dimensión: Vinculación,Interacción,5,0,-0.08443535845225218,0.08685465209509317,0.25872216732386877,0.26315740762975726,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,Arquetipo: G3 Fearful Careful x Dimensión: Autonomía,Interacción,5,0,-0.0559093179965746,0.04632956573801612,0.27786575724897267,0.26230328139801656,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_COMPETENCE,Dimensión: Competencia,Dimensión,5,0,0.02666333612058419,0.02990427851278477,0.3634023936528134,0.38542470136272916,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_COMPETENCE,Arquetipo: G5 Uninterested x Dimensión: Competencia,Interacción,5,0,-0.14763865729247608,0.17129885079290602,0.3977217214767348,0.08061695702562839,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,Arquetipo: G3 Fearful Careful x Dimensión: Estímulo,Interacción,5,0,0.047155048537817136,0.02580635157229216,0.40722934364761737,0.44617366806681885,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_STIMULATION,Arquetipo: G5 Uninterested x Dimensión: Estímulo,Interacción,5,0,0.028683977171378484,0.21629703401324285,0.4106388594603153,0.30938519714645607,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_COMPETENCE,Arquetipo: G3 Fearful Careful x Dimensión: Competencia,Interacción,5,0,-0.04464075385119996,0.024089924125029385,0.428360040166349,0.4446012908434943,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,Arquetipo: G4 HomoEconomicus x Dimensión: Seguridad financiera,Interacción,5,0,-0.038939832666983906,0.09268732211274817,0.48562580564434804,0.48390568989835503,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_STIMULATION,Dimensión: Estímulo,Dimensión,5,0,0.020136062265531857,0.04000277854873818,0.5116964732976057,0.6106935529294393,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_AUTONOMY,Arquetipo: G5 Uninterested x Dimensión: Autonomía,Interacción,5,0,0.029258830180255723,0.11263510996356878,0.5240567486742659,0.42562552412874805,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_FINANCIAL,Arquetipo: G5 Uninterested x Dimensión: Seguridad financiera,Interacción,5,0,0.1003278485840293,0.24611021190849566,0.5251659398658135,0.5053951831879563,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,z_RELATEDNESS,Dimensión: Vinculación,Dimensión,5,0,-0.0017629359697021506,0.034330727538840186,0.5711953918047402,0.527268464577797,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_SECURITY,Arquetipo: G5 Uninterested x Dimensión: Seguridad,Interacción,5,0,-0.025796752206552108,0.3288670379426861,0.597133824076627,0.7380056861602133,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_MEANING,Arquetipo: G5 Uninterested x Dimensión: Significado,Interacción,5,0,-0.030161264117022794,0.13880270956955804,0.6429679210236037,0.6512359311612157,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G5_Uninterested:z_RELATEDNESS,Arquetipo: G5 Uninterested x Dimensión: Vinculación,Interacción,5,0,-0.06493512748932842,0.1007326728205627,0.67190323571016,0.6394115602248933,5,0,0,1
200,M2_FULL,M2 completo: interacción arquetipo x todas las dimensiones,macro_archetype_5G3_Fearful_Careful:z_RELATEDNESS,Arquetipo: G3 Fearful Careful x Dimensión: Vinculación,Interacción,5,0,0.0057279640299319175,0.03795644915578081,0.7309167246525965,0.8928079679996511,5,0,0,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_SECURITY,Dimensión: Seguridad,Dimensión,5,5,-0.14315509608317442,0.007743258212416752,1.0512412474717883e-12,1.1429151366053139e-12,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_AUTONOMY,Dimensión: Autonomía,Dimensión,5,5,0.24397752020594418,0.04696290542695285,1.218485885994955e-7,1.326298289290414e-10,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,Considering|Done,Considering|Done,Umbral de etapa,5,5,13.032808850257188,2.479213225031305,1.149551777598231e-4,3.9427489127846184e-5,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G2_EarlyAdopter_Influencer:z_FINANCIAL,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Seguridad financiera,Interacción,5,5,0.22271017912380547,0.04252176695374613,1.185064951026194e-4,2.1616265876906048e-6,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G3_Fearful_Careful,Arquetipo: G3 Fearful Careful,Arquetipo,5,5,16.318339838700844,2.6689727620558688,2.094402847564154e-4,6.991951057227598e-6,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G3_Fearful_Careful:z_PHYSIOLOGICAL,Arquetipo: G3 Fearful Careful x Dimensión: Materialidad,Interacción,5,5,-0.1745704410903611,0.03694283296891435,4.3275773368002735e-4,7.703952767315387e-7,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_MEANING,Dimensión: Significado,Dimensión,5,5,0.13597846490559876,0.03422221293299149,0.004913116583916528,6.839871638319314e-4,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,Knowledge|Considering,Knowledge|Considering,Umbral de etapa,5,5,8.352143958960799,2.4303664652172237,0.012706170004171536,0.005973857401899314,5,1,1,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G5_Uninterested:z_PHYSIOLOGICAL,Arquetipo: G5 Uninterested x Dimensión: Materialidad,Interacción,5,4,-0.23303369180455225,0.05485599933215552,0.011507508996621884,2.3761582748183366e-6,5,0.8,0.8,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G5_Uninterested,Arquetipo: G5 Uninterested,Arquetipo,5,4,16.909529090553733,5.452638238317556,0.03187809182632681,0.03345792107906721,5,0.8,0.8,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G2_EarlyAdopter_Influencer:z_STIMULATION,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Estímulo,Interacción,5,4,-0.1266335151650381,0.04321066898055669,0.04125670810034504,0.003416428054890578,5,0.8,0.8,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_FINANCIAL,Dimensión: Seguridad financiera,Dimensión,5,4,-0.09031162024124402,0.032469540138136264,0.04822899802744839,0.011030936057780468,5,0.8,0.8,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G2_EarlyAdopter_Influencer:z_PHYSIOLOGICAL,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Materialidad,Interacción,5,4,-0.11666168851737346,0.0661674425270401,0.1715895902333489,2.2955871921564606e-4,5,0.8,0.8,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G4_HomoEconomicus,Arquetipo: G4 HomoEconomicus,Arquetipo,5,3,11.90349155248516,4.331393700263237,0.0850679287499507,0.015338547671294517,5,0.6,0.6,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_PHYSIOLOGICAL,Dimensión: Materialidad,Dimensión,5,3,0.05442163641917499,0.04720684627511143,0.12473249115112128,0.03984300468937219,5,0.6,0.6,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G3_Fearful_Careful:z_MEANING,Arquetipo: G3 Fearful Careful x Dimensión: Significado,Interacción,5,3,-0.11333484345178575,0.07739998145020363,0.1947585060555217,0.021840391373192873,5,0.6,0.6,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G4_HomoEconomicus:z_MEANING,Arquetipo: G4 HomoEconomicus x Dimensión: Significado,Interacción,5,2,-0.1527122925303529,0.05486294613827346,0.08261229367107684,0.09310686819174405,5,0.4,0.4,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G4_HomoEconomicus:z_STIMULATION,Arquetipo: G4 HomoEconomicus x Dimensión: Estímulo,Interacción,5,2,0.1426089989007785,0.07741361379071289,0.13486912098329523,0.08367765771474128,5,0.4,0.4,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_RELATEDNESS,Dimensión: Vinculación,Dimensión,5,2,-0.03154228534921138,0.023200055570723466,0.23052595699252168,0.14512446081202585,5,0.4,0.4,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G2_EarlyAdopter_Influencer:z_AUTONOMY,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Autonomía,Interacción,5,1,-0.05753513809023576,0.06975940751493377,0.20855568277162526,0.15314075576471234,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G3_Fearful_Careful:z_FINANCIAL,Arquetipo: G3 Fearful Careful x Dimensión: Seguridad financiera,Interacción,5,1,0.07179937676723057,0.03847290082372474,0.22413496007473058,0.13418003422357971,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G3_Fearful_Careful:z_AUTONOMY,Arquetipo: G3 Fearful Careful x Dimensión: Autonomía,Interacción,5,1,-0.05924130554034026,0.0524071938576416,0.28402375292980764,0.233537012693841,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G4_HomoEconomicus:z_AUTONOMY,Arquetipo: G4 HomoEconomicus x Dimensión: Autonomía,Interacción,5,1,0.02823242857550051,0.1276615875128578,0.31893234375047463,0.1390329258709453,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_POPULARITY,Dimensión: Popularidad,Dimensión,5,1,0.02038888472412692,0.01561738547458159,0.3248497285362924,0.1308915951780056,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G2_EarlyAdopter_Influencer,Arquetipo: G2 EarlyAdopter Influencer,Arquetipo,5,1,4.41088873691226,4.114767314038641,0.3712160422722202,0.36397997141141014,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G4_HomoEconomicus:z_PHYSIOLOGICAL,Arquetipo: G4 HomoEconomicus x Dimensión: Materialidad,Interacción,5,1,-0.03449732640414214,0.06833643904225174,0.37197316580055756,0.3872728236915291,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G5_Uninterested:z_STIMULATION,Arquetipo: G5 Uninterested x Dimensión: Estímulo,Interacción,5,1,0.07628659832796647,0.11384986237558616,0.3857258160306101,0.2173411918362405,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G4_HomoEconomicus:z_FINANCIAL,Arquetipo: G4 HomoEconomicus x Dimensión: Seguridad financiera,Interacción,5,1,-0.06606176843412394,0.0720101906473739,0.4099112886475856,0.55731948811865,5,0.2,0.2,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G3_Fearful_Careful:z_STIMULATION,Arquetipo: G3 Fearful Careful x Dimensión: Estímulo,Interacción,5,0,0.06354993179643353,0.015865572503099896,0.19412647379871936,0.22345867075182013,5,0,0,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_COMPETENCE,Dimensión: Competencia,Dimensión,5,0,-0.023342152673777455,0.014714340032925745,0.2590340510417782,0.10282834911490304,5,0,0,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G2_EarlyAdopter_Influencer:z_MEANING,Arquetipo: G2 EarlyAdopter Influencer x Dimensión: Significado,Interacción,5,0,0.027573458143785902,0.05374946739816825,0.30708261711104207,0.3019322912709982,5,0,0,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,macro_archetype_5G5_Uninterested:z_AUTONOMY,Arquetipo: G5 Uninterested x Dimensión: Autonomía,Interacción,5,0,-0.05064651904814685,0.09031606370881871,0.41611569449637026,0.30175643838539,5,0,0,1
200,M2_REDUCED,M2 reducido: interacciones teóricas,z_STIMULATION,Dimensión: Estímulo,Dimensión,5,0,0.014950288415198737,0.03521823900020935,0.5701615461820906,0.6212617900049242,5,0,0,1
