"","Early.Adopter","Uninterested","Homo.Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_39",0.2,0,0,0,0,0.166666666666667,0.166666666666667
"pattern_28",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_46",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_34",0,0.25,0.25,0.25,0,0,0.5
"pattern_43",0,0.125,0.125,0.125,0,0.111111111111111,0.25
"pattern_42",0.25,0.25,0,0.25,0,0.2,0.2
"pattern_45",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_53",0.25,0.25,0,0.25,0,0.2,0.5
"pattern_11",0.25,0.25,0,0.25,0,0.2,0.5
"pattern_48",0.125,0.125,0.125,0.125,0,0.111111111111111,0.25
"pattern_36",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_40",0.333333333333333,0,0,0,0,0.666666666666667,0
"pattern_67",0,0,0.25,0,0,0,0.2
"pattern_52",0.5,0,0,0,0,1,0
"pattern_51",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_54",0.333333333333333,0,0,0,0,0.25,0
"pattern_55",0.25,0,0,0,0,0.5,0
"pattern_61",0.25,0,0,0,0,0.2,0
"pattern_57",0,0,0,0,0,0,0
"pattern_50",0,0,0,0,0,0,0
"pattern_35",0.2,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_66",0.2,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_63",0.25,0.25,0,0.25,0,0.2,0.2
"pattern_56",0,0.2,0,0.2,0,0,0.4
"pattern_64",0.2,0.2,0.2,0.2,0,0.166666666666667,0.4
"pattern_49",0.333333333333333,0,0,0,0,0.25,0
"pattern_75",0.5,0,0,0,0,0.333333333333333,0.333333333333333
"pattern_22",0.125,0.125,0.125,0.125,0,0.25,0.25
"pattern_72",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0.285714285714286
"pattern_58",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_47",0,0,0,0,0,0,0.2
"pattern_60",0,0,0,0,0,0,0.333333333333333
"pattern_85",0.25,0.25,0,0.25,0,0.5,0.5
"pattern_62",0.2,0,0,0,0,0.166666666666667,0.166666666666667
"pattern_91",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_80",0.2,0,0.2,0,0,0.166666666666667,0.166666666666667
"pattern_88",0.25,0,0,0,0,0.2,0.2
"pattern_73",0.2,0.2,0,0.2,0,0.4,0.4
"pattern_95",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_96",0,0.25,0,0.25,0,0,0.5
"pattern_78",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_68",0.333333333333333,0,0,0,0,0.666666666666667,0
"pattern_101",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.666666666666667,0.25
"pattern_70",0.25,0.25,0,0.25,0,0.5,0.2
"pattern_76",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_102",0.2,0.2,0,0.2,0,0.4,0.4
"pattern_74",0.166666666666667,0,0.166666666666667,0,0,0.142857142857143,0.142857142857143
"pattern_92",0,0,0.333333333333333,0,0,0,0.25
"pattern_65",0,0,0,0,0,0,0
"pattern_87",0,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.333333333333333
"pattern_89",0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.125,0.285714285714286
"pattern_69",0,0,0.2,0,0,0,0.166666666666667
"pattern_71",0,0,0,0,0,0,0
"pattern_81",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_109",0.333333333333333,0,0,0,0,0.25,0.25
"pattern_86",0,0,0,0,0,0.5,0
"pattern_82",0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_93",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_120",0,0,0,0,0,0,0
"pattern_77",0.25,0,0,0,0,0.2,0.2
"pattern_59",0.25,0.25,0,0.25,0,0.2,0.2
"pattern_84",0.2,0.2,0,0.2,0,0.166666666666667,0.166666666666667
"pattern_106",0.125,0.125,0,0.125,0,0.25,0.25
"pattern_79",0,0,0,0,0,0.333333333333333,0
"pattern_143",0,0,0,0,0,0,0.25
"pattern_115",0.166666666666667,0,0,0,0,0.142857142857143,0.142857142857143
"pattern_98",0.25,0.25,0,0.25,0,0.2,0.2
"pattern_83",0.2,0.2,0,0.2,0,0.4,0.166666666666667
"pattern_136",0.25,0.25,0,0.25,0,0.5,0.2
"pattern_137",0,0.25,0,0.25,0,0,0.5
"pattern_138",0.2,0.2,0,0.2,0,0.4,0.4
"pattern_124",0,0.5,0,0.5,0,0.333333333333333,0.333333333333333
"pattern_104",0.2,0,0,0,0,0.166666666666667,0
"pattern_108",0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_129",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_116",0,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_99",0,0.2,0,0.2,0,0,0.4
"pattern_151",0.2,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_100",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_117",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_149",0.25,0,0.25,0,0,0.2,0.2
"pattern_159",0,0,0,0,0,0,0.25
"pattern_107",0.2,0,0,0,0,0.166666666666667,0.166666666666667
"pattern_154",0.142857142857143,0,0.142857142857143,0,0,0.125,0.125
"pattern_168",0,0,0,0,0,0,0.2
"pattern_97",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_152",0,0,0,0,0,0,0
"pattern_90",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_141",0,0,0,0,0,0,0.166666666666667
"pattern_144",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_148",0.2,0,0,0,0,0.4,0.166666666666667
"pattern_150",0.2,0.2,0,0.2,0,0.166666666666667,0.166666666666667
"pattern_94",0,0,0,0,0,0,0
"pattern_114",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_123",0,0.166666666666667,0,0.166666666666667,0,0,0.333333333333333
"pattern_133",0.2,0.2,0.2,0.2,0,0.4,0.4
"pattern_169",0.25,0,0,0,0,0.5,0.2
"pattern_173",0.125,0,0.125,0,0,0.25,0.111111111111111
"pattern_130",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_161",0,0.166666666666667,0,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_167",0,0.25,0,0.25,0,0.2,0.5
"pattern_170",0,0.2,0,0.2,0,0,0.4
"pattern_190",0,0,0,0,0,0,0.2
"pattern_105",0,0.25,0.25,0.25,0,0,0.5
"pattern_125",0.125,0.125,0.125,0.125,0,0.25,0.25
"pattern_158",0,0,0,0,0,0,0
"pattern_164",0.333333333333333,0,0,0,0,0.25,0
"pattern_189",0,0.2,0.2,0.2,0,0,0.4
"pattern_110",0.125,0.125,0.125,0.125,0,0.25,0.25
"pattern_128",0,0,0.333333333333333,0,0,0,0.25
"pattern_135",0.333333333333333,0,0,0,0,0.666666666666667,0.25
"pattern_157",0.25,0.25,0,0.25,0,0.2,0.5
"pattern_179",0,0.333333333333333,0,0.333333333333333,0,0,0.666666666666667
"pattern_185",0,0.5,0,0.5,0,0,0.333333333333333
"pattern_118",0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_119",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_140",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_142",0,0,0.25,0,0,0,0.2
"pattern_145",0.25,0,0,0,0,0.5,0.2
"pattern_155",0,0.5,0.5,0.5,0,0,0.333333333333333
"pattern_162",0.2,0,0,0,0,0.166666666666667,0.166666666666667
"pattern_171",0,0,0,0,0,0,0
"pattern_181",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_191",0.5,0,0,0,0,0.333333333333333,0
"pattern_112",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_113",0.25,0.25,0.25,0.25,0,0.2,0.5
"pattern_121",0.2,0.2,0.2,0.2,0,0.166666666666667,0.4
"pattern_122",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_126",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_131",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.25
"pattern_132",0.25,0,0,0,0,0.2,0
"pattern_134",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_139",0,0,0.5,0,0,0,0
"pattern_146",0,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_147",0.142857142857143,0,0,0,0,0.285714285714286,0.125
"pattern_156",0,0.142857142857143,0,0.142857142857143,0,0.125,0.285714285714286
"pattern_160",0,0,0.142857142857143,0,0,0.125,0.125
"pattern_166",0,0,0,0,0,0,0.25
"pattern_175",0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.666666666666667
"pattern_177",0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_178",0.25,0,0,0,0,0.2,0.2
"pattern_188",0,0.333333333333333,0,0.333333333333333,0,0.25,0.666666666666667
"pattern_192",0.25,0,0,0,0,0.5,0.2
"pattern_193",0.142857142857143,0,0.142857142857143,0,0,0.285714285714286,0.125
"pattern_194",0,0,0,0,0,0,0.25
"pattern_195",0.166666666666667,0,0.166666666666667,0,0,0.142857142857143,0.142857142857143
"pattern_200",0,0.25,0,0.25,0,0,0.5
"pattern_204",0,0.25,0,0.25,0,0,0.5
"pattern_206",0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_103",0.142857142857143,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0.285714285714286
"pattern_111",0,0,0,0,0,0.333333333333333,0
"pattern_127",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_153",0.2,0.2,0.2,0.2,0,0.166666666666667,0.4
"pattern_163",0.25,0,0,0,0,0.2,0.2
"pattern_165",0.2,0.2,0,0.2,0,0.166666666666667,0.4
"pattern_172",0,0.2,0.2,0.2,0,0,0.4
"pattern_174",0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.25
"pattern_176",0,0.2,0,0.2,0,0,0.4
"pattern_180",0.333333333333333,0.333333333333333,0,0.333333333333333,0,0.25,0.25
"pattern_182",0,0,0.166666666666667,0,0,0,0.142857142857143
"pattern_183",0,0.2,0.2,0.2,0,0.166666666666667,0.4
"pattern_184",0,0.25,0.25,0.25,0,0,0.5
"pattern_186",0,0.333333333333333,0,0.333333333333333,0,0,0.25
"pattern_187",0.25,0.25,0.25,0.25,0,0.2,0.2
"pattern_196",0.2,0.2,0.2,0.2,0,0.4,0.166666666666667
"pattern_197",0.25,0.25,0.25,0.25,0,0.2,0.2
"pattern_198",0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.333333333333333,0.333333333333333
"pattern_199",0.142857142857143,0,0.142857142857143,0,0,0.285714285714286,0.125
"pattern_201",0,0.166666666666667,0,0.166666666666667,0,0.142857142857143,0.333333333333333
"pattern_202",0,0,0,0,0,0.333333333333333,0.333333333333333
"pattern_203",0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.125,0.285714285714286
"pattern_205",0.25,0,0,0,0,0.5,0
"pattern_207",0.2,0.2,0.2,0.2,0,0.4,0.166666666666667
"pattern_208",0,0,0,0,0,0,0
"pattern_209",0,0,0,0,0,0,0
"pattern_210",0,0,0.333333333333333,0,0,0,0
"pattern_211",0,0.2,0.2,0.2,0,0,0.166666666666667
"pattern_212",0.25,0,0,0,0,0.2,0
"pattern_213",0,0.25,0,0.25,0,0,0.2
