stage_dimension_id,participant_id,stage,technology,dimension_key,dimension,added_value,adherence,agreement,approval,authority,autonomy,climate_protection,commitment,cost_efficiency,coziness,credit_score_access_to_funding,environmental_concerns,frugality,fun,knowledge,legal,novelty,own_competence,own_significance,peer_pressure,profits,recognition,rights_and_duties,risk_profile,safety,self_satisfaction,socialising,support,technical_fit,trends,trust,wellbeing
377,182,Implemented,Envelope renovation,FINANCIAL,Financial security,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA
1204,183,Aware / would consider,Energy community,MEANING,Meaning,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1203,183,Aware / would consider,Energy community,STIMULATION,Stimulation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,23,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,183,Implemented,Envelope renovation,FINANCIAL,Financial security,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,183,Implemented,Envelope renovation,MEANING,Meaning,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,183,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
1205,184,Aware / would consider,Heat pump,FINANCIAL,Financial security,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA
1207,184,Aware / would consider,Heat pump,MEANING,Meaning,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1206,184,Aware / would consider,Heat pump,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
381,184,Implemented,Energy-efficient appliances,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,100,NA,NA,71,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA
383,184,Implemented,Energy-efficient appliances,MEANING,Meaning,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,184,Implemented,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
1967,184,Unaware but curious,Energy community,MEANING,Meaning,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,184,Unaware but curious,Energy community,RELATEDNESS,Relatedness,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA
1208,185,Aware / would consider,Heat pump,FINANCIAL,Financial security,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
1210,185,Aware / would consider,Heat pump,MEANING,Meaning,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1209,185,Aware / would consider,Heat pump,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,185,Implemented,Energy-efficient appliances,AUTONOMY,Autonomy,NA,90,NA,NA,NA,70,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA
384,185,Implemented,Energy-efficient appliances,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,95,NA,NA,100,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
386,185,Implemented,Energy-efficient appliances,MEANING,Meaning,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,185,Unaware but curious,Energy community,AUTONOMY,Autonomy,NA,90,NA,NA,NA,70,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA
1968,185,Unaware but curious,Energy community,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,95,NA,NA,100,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
1970,185,Unaware but curious,Energy community,MEANING,Meaning,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,186,Aware / would consider,Energy community,AUTONOMY,Autonomy,NA,90,NA,NA,NA,71,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA
1211,186,Aware / would consider,Energy community,FINANCIAL,Financial security,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,61,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA
1213,186,Aware / would consider,Energy community,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
1972,186,Unaware but curious,Heat pump,AUTONOMY,Autonomy,NA,90,NA,NA,NA,71,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA,NA,NA
1971,186,Unaware but curious,Heat pump,FINANCIAL,Financial security,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,61,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA
1973,186,Unaware but curious,Heat pump,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
1974,187,Unaware but curious,Envelope renovation,FINANCIAL,Financial security,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,188,Aware / would consider,Cooling system,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
387,188,Implemented,Heat recovery ventilation,FINANCIAL,Financial security,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,80,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA
388,188,Implemented,Heat recovery ventilation,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
1975,188,Unaware but curious,Electric vehicle,FINANCIAL,Financial security,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,80,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA
1976,188,Unaware but curious,Electric vehicle,SECURITY,Security,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,85,NA
1216,189,Aware / would consider,Envelope renovation,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,87,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA
1215,189,Aware / would consider,Envelope renovation,FINANCIAL,Financial security,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
389,189,Implemented,Envelope renovation,MEANING,Meaning,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,189,Unaware but curious,Energy storage systems,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,87,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA
1218,190,Aware / would consider,Energy community,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,50,NA,NA,75,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA
1219,190,Aware / would consider,Energy community,MEANING,Meaning,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1217,190,Aware / would consider,Energy community,SECURITY,Security,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,70,NA
391,190,Implemented,Envelope renovation,AUTONOMY,Autonomy,NA,76,NA,NA,NA,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA
390,190,Implemented,Envelope renovation,COMPETENCE,Competence,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,50,NA,NA,75,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA
392,190,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
1978,190,Unaware but curious,Energy-efficient appliances,AUTONOMY,Autonomy,NA,76,NA,NA,NA,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA
1980,190,Unaware but curious,Energy-efficient appliances,MEANING,Meaning,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,190,Unaware but curious,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
1220,191,Aware / would consider,Heat pump,FINANCIAL,Financial security,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA
394,191,Implemented,Envelope renovation,MEANING,Meaning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,191,Implemented,Envelope renovation,SECURITY,Security,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,75,NA
1223,192,Aware / would consider,Electric vehicle,AUTONOMY,Autonomy,NA,71,NA,NA,NA,74,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA
1221,192,Aware / would consider,Electric vehicle,FINANCIAL,Financial security,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,80,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA
1222,192,Aware / would consider,Electric vehicle,SECURITY,Security,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,79,NA
396,192,Implemented,Energy community,MEANING,Meaning,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,192,Implemented,Energy community,RELATEDNESS,Relatedness,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,84,NA,NA,NA,85,78,NA,NA,NA,NA
397,193,Implemented,Heat recovery ventilation,FINANCIAL,Financial security,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
399,193,Implemented,Heat recovery ventilation,MEANING,Meaning,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,193,Implemented,Heat recovery ventilation,POPULARITY,Popularity,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA
1224,194,Aware / would consider,Heat recovery ventilation,FINANCIAL,Financial security,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA
400,194,Implemented,Energy community,AUTONOMY,Autonomy,NA,67,NA,NA,NA,69,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA
1981,194,Unaware but curious,Envelope renovation,AUTONOMY,Autonomy,NA,67,NA,NA,NA,69,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA
1225,195,Aware / would consider,Energy community,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
1226,195,Aware / would consider,Energy community,RELATEDNESS,Relatedness,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,100,NA,NA,NA,65,100,NA,NA,NA,NA
401,195,Implemented,Envelope renovation,FINANCIAL,Financial security,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,0,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA
402,195,Implemented,Envelope renovation,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
403,195,Implemented,Envelope renovation,RELATEDNESS,Relatedness,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,100,NA,NA,NA,65,100,NA,NA,NA,NA
1982,195,Unaware but curious,Energy community,FINANCIAL,Financial security,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,0,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA
1984,195,Unaware but curious,Energy community,MEANING,Meaning,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,195,Unaware but curious,Energy community,RELATEDNESS,Relatedness,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,100,NA,NA,NA,65,100,NA,NA,NA,NA
1227,196,Aware / would consider,Envelope renovation,FINANCIAL,Financial security,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,27,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
1229,196,Aware / would consider,Envelope renovation,MEANING,Meaning,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,196,Aware / would consider,Envelope renovation,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68
405,196,Implemented,Micro-efficiency measures,AUTONOMY,Autonomy,NA,68,NA,NA,NA,70,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA
404,196,Implemented,Micro-efficiency measures,FINANCIAL,Financial security,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,27,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
406,196,Implemented,Micro-efficiency measures,MEANING,Meaning,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,196,Unaware but curious,Heat recovery ventilation,MEANING,Meaning,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1232,197,Aware / would consider,Energy-efficient appliances,MEANING,Meaning,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1230,197,Aware / would consider,Energy-efficient appliances,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
1231,197,Aware / would consider,Energy-efficient appliances,RELATEDNESS,Relatedness,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,90,NA,NA,NA,50,75,NA,NA,NA,NA
409,197,Implemented,Energy community,MEANING,Meaning,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,197,Implemented,Energy community,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
408,197,Implemented,Energy community,RELATEDNESS,Relatedness,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,90,NA,NA,NA,50,75,NA,NA,NA,NA
1988,197,Unaware but curious,Electricity tariff change,MEANING,Meaning,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,197,Unaware but curious,Electricity tariff change,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
1987,197,Unaware but curious,Electricity tariff change,RELATEDNESS,Relatedness,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,90,NA,NA,NA,50,75,NA,NA,NA,NA
1234,198,Aware / would consider,Elevator,AUTONOMY,Autonomy,NA,82,NA,NA,NA,81,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA
1235,198,Aware / would consider,Elevator,PHYSIOLOGICAL,Materiality,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
1233,198,Aware / would consider,Elevator,SECURITY,Security,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,99,NA
411,198,Implemented,Envelope renovation,AUTONOMY,Autonomy,NA,82,NA,NA,NA,81,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA
410,198,Implemented,Envelope renovation,FINANCIAL,Financial security,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,64,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA
