"","Early Adopter","Uninterested","Homo Economicus","Fearful","Stubborn","Influencer","Careful"
"pattern_322",9,9,11,13,7,11,12
"pattern_323",20,12,14,10,14,20,9
"pattern_324",13,15,13,13,13,11,12
"pattern_325",11,13,17,17,11,9,16
"pattern_326",14,12,14,16,12,12,15
"pattern_327",18,14,14,10,10,16,11
"pattern_328",12,16,14,12,16,14,15
"pattern_329",8,16,18,16,14,12,17
"pattern_330",14,12,12,8,8,16,9
"pattern_331",8,14,16,18,14,8,15
"pattern_332",18,12,12,10,10,18,9
"pattern_333",18,16,12,10,12,16,7
"pattern_334",9,15,17,17,13,13,16
"pattern_335",15,17,11,9,11,15,10
"pattern_336",12,12,14,16,10,12,17
"pattern_337",9,9,13,13,9,13,12
"pattern_338",11,17,13,15,15,11,14
"pattern_339",10,8,10,12,12,14,13
"pattern_340",18,16,12,12,12,18,9
"pattern_341",18,12,10,6,10,18,7
"pattern_342",11,9,9,11,7,11,10
"pattern_343",12,14,16,14,14,12,13
"pattern_344",9,15,15,15,13,13,16
"pattern_345",7,9,9,13,11,11,14
"pattern_346",18,10,10,6,10,18,7
"pattern_347",16,14,10,8,14,22,9
"pattern_348",13,13,15,13,13,15,14
"pattern_349",13,9,9,7,9,15,8
"pattern_350",8,8,12,14,10,10,15
"pattern_351",9,15,15,15,17,13,18
"pattern_352",18,10,12,8,12,20,9
"pattern_353",14,18,18,16,16,14,13
"pattern_354",9,13,17,15,11,11,16
"pattern_355",11,13,15,13,13,11,16
"pattern_356",13,11,9,9,11,13,10
"pattern_357",10,6,10,14,10,12,13
"pattern_358",9,13,19,19,13,7,18
"pattern_359",20,12,12,8,12,22,11
"pattern_360",11,13,13,15,13,11,18
"pattern_361",18,10,10,6,12,18,7
"pattern_362",18,14,10,8,8,20,7
"pattern_363",18,14,10,6,10,18,7
"pattern_364",9,13,17,19,15,7,18
"pattern_365",18,14,10,6,10,20,3
"pattern_366",16,14,10,8,14,22,7
"pattern_367",11,15,11,13,13,11,14
"pattern_368",16,12,10,8,14,14,11
"pattern_369",18,12,10,8,12,20,7
"pattern_370",7,15,17,15,13,11,16
"pattern_371",18,12,12,8,8,20,7
"pattern_372",14,14,14,12,8,16,13
"pattern_373",11,13,15,17,11,7,14
"pattern_374",11,11,9,9,7,13,10
"pattern_375",20,10,12,8,12,20,9
"pattern_376",13,7,11,11,11,17,10
"pattern_377",20,10,12,10,14,20,11
"pattern_378",13,15,11,11,11,13,12
"pattern_379",13,15,15,15,13,13,14
"pattern_380",16,12,16,14,12,14,17
"pattern_381",18,14,12,10,14,22,9
"pattern_382",18,14,12,8,10,20,7
"pattern_383",15,15,13,11,13,15,10
"pattern_384",7,11,13,13,11,11,14
"pattern_385",17,11,9,7,11,19,6
"pattern_386",18,14,12,8,12,20,9
"pattern_387",14,16,10,12,12,14,13
"pattern_388",9,7,9,13,9,11,12
"pattern_389",14,14,14,12,14,14,11
"pattern_390",10,10,12,14,10,14,13
"pattern_391",20,12,12,8,14,22,11
"pattern_392",18,14,12,10,12,20,11
"pattern_393",14,16,14,12,10,14,11
"pattern_394",13,15,13,15,15,13,14
"pattern_395",16,12,10,6,12,18,9
"pattern_396",10,14,16,16,14,14,19
"pattern_397",12,14,12,12,12,12,13
"pattern_398",14,16,16,18,12,10,17
"pattern_399",7,13,17,17,13,9,16
"pattern_400",11,15,13,13,11,13,14
"pattern_401",18,10,8,4,12,18,7
"pattern_402",18,12,12,10,14,22,9
"pattern_403",12,10,14,14,14,12,15
"pattern_404",10,14,14,16,12,8,13
"pattern_405",10,12,16,18,14,10,17
"pattern_406",18,12,12,8,16,22,9
"pattern_407",11,9,9,11,9,13,10
"pattern_408",14,14,8,10,14,14,13
"pattern_409",20,12,12,8,10,22,7
"pattern_410",20,10,10,6,12,20,9
"pattern_411",11,11,13,15,9,11,14
"pattern_412",16,16,14,10,12,16,9
"pattern_413",14,16,18,16,16,14,15
"pattern_414",18,10,8,6,14,18,7
"pattern_415",18,10,12,6,8,18,7
"pattern_416",11,11,11,9,5,13,8
"pattern_417",13,15,15,15,13,15,16
"pattern_418",18,14,12,8,12,18,7
"pattern_419",18,14,12,8,10,18,7
"pattern_420",18,14,12,10,12,22,9
"pattern_421",16,10,10,6,10,16,5
"pattern_422",12,16,20,18,14,14,19
"pattern_423",12,12,8,10,10,12,11
"pattern_424",14,14,14,12,12,14,9
"pattern_425",18,12,10,8,12,20,11
"pattern_426",14,12,12,8,8,16,7
"pattern_427",18,14,12,8,12,20,7
"pattern_428",14,16,14,12,12,12,11
"pattern_429",9,13,15,15,15,11,18
"pattern_430",12,16,16,16,14,12,15
"pattern_431",18,16,12,10,8,20,5
"pattern_432",10,18,16,16,14,14,17
"pattern_433",9,9,9,11,11,13,12
"pattern_434",20,12,14,10,16,22,11
"pattern_435",14,18,12,14,14,12,13
"pattern_436",16,14,12,8,14,20,9
"pattern_437",11,15,15,17,15,11,16
"pattern_438",18,10,10,6,12,18,5
"pattern_439",12,14,12,12,16,12,15
"pattern_440",16,12,12,10,12,16,9
"pattern_441",11,13,13,15,11,11,16
"pattern_442",10,16,18,16,10,12,17
"pattern_443",12,12,14,12,14,10,15
"pattern_444",18,14,10,6,10,20,5
"pattern_445",10,16,14,16,14,10,15
"pattern_446",19,9,11,7,13,19,6
"pattern_447",14,18,14,14,14,18,13
"pattern_448",12,12,14,14,10,14,13
"pattern_449",16,16,12,10,12,16,9
"pattern_450",20,12,12,10,12,20,13
"pattern_451",16,14,14,10,10,14,13
"pattern_452",12,16,12,14,14,10,13
"pattern_453",10,12,14,14,14,10,15
"pattern_454",17,9,11,7,11,17,8
"pattern_455",15,11,9,7,9,17,6
"pattern_456",17,15,13,9,9,19,6
"pattern_457",18,12,12,8,10,18,7
"pattern_458",8,12,16,16,12,10,17
"pattern_459",16,12,12,8,16,20,11
"pattern_460",11,13,15,15,13,13,16
"pattern_461",10,14,16,16,12,12,17
"pattern_462",11,13,11,13,11,11,14
"pattern_463",14,10,10,8,8,16,5
"pattern_464",18,12,14,10,12,20,11
"pattern_465",18,14,14,10,10,18,13
"pattern_466",12,14,14,16,12,10,15
"pattern_467",8,16,18,18,12,12,19
"pattern_468",9,9,9,11,7,11,10
"pattern_469",20,14,12,12,14,20,13
"pattern_470",12,8,10,10,12,14,11
"pattern_471",10,14,14,14,12,12,15
"pattern_472",12,12,16,18,12,10,15
"pattern_473",14,14,18,16,14,16,17
"pattern_474",20,10,14,10,10,18,9
"pattern_475",16,14,10,10,12,16,11
"pattern_476",18,16,10,10,12,18,9
"pattern_477",14,8,10,10,10,16,7
"pattern_478",11,15,15,17,13,9,16
"pattern_479",15,13,13,9,9,17,8
"pattern_480",18,10,12,8,8,18,9
"pattern_481",10,8,10,10,10,14,9
"pattern_482",15,15,13,11,13,13,10
"pattern_483",8,16,18,16,12,12,17
"pattern_484",18,12,12,8,12,20,9
"pattern_485",7,17,15,17,15,13,16
"pattern_486",11,13,17,19,11,11,18
"pattern_487",9,11,13,13,11,11,14
"pattern_488",16,14,14,12,10,14,13
"pattern_489",12,18,14,14,14,12,13
"pattern_490",18,12,10,8,10,18,9
"pattern_491",20,12,14,10,10,18,11
"pattern_492",18,12,12,10,12,20,13
"pattern_493",11,9,11,9,9,15,8
"pattern_494",18,14,12,8,10,16,9
"pattern_495",10,14,16,16,12,12,15
"pattern_496",12,16,16,18,14,12,17
"pattern_497",6,14,16,16,16,10,17
"pattern_498",10,14,16,16,14,14,17
"pattern_499",14,16,14,12,14,14,11
"pattern_500",10,14,20,20,12,8,19
"pattern_501",18,12,12,8,12,18,7
"pattern_502",11,17,13,13,13,13,14
"pattern_503",11,9,13,15,9,13,14
"pattern_504",18,12,12,8,12,20,9
"pattern_505",8,16,16,18,14,10,15
"pattern_506",16,14,12,8,10,18,7
"pattern_507",16,10,12,8,14,18,11
"pattern_508",16,14,10,8,14,14,9
"pattern_509",18,12,14,8,14,22,11
"pattern_510",11,11,9,11,9,11,12
"pattern_511",10,8,10,12,10,14,11
"pattern_512",18,12,14,10,14,20,11
"pattern_513",7,15,13,15,13,9,16
"pattern_514",18,14,16,12,10,18,7
"pattern_515",12,14,16,16,14,16,17
"pattern_516",14,16,14,12,14,12,11
"pattern_517",20,10,12,8,12,20,11
"pattern_518",13,15,17,15,15,15,18
"pattern_519",18,12,12,8,10,18,9
"pattern_520",9,7,9,11,11,13,10
"pattern_521",11,17,17,17,13,15,16
"pattern_522",13,15,13,11,13,13,12
"pattern_523",20,12,10,10,16,20,11
"pattern_524",14,10,10,8,8,16,7
"pattern_525",11,11,13,15,11,11,16
"pattern_526",16,16,8,10,14,16,13
"pattern_527",18,12,12,8,14,20,9
"pattern_528",17,11,9,7,11,19,4
"pattern_529",14,12,14,12,10,14,9
"pattern_530",11,13,15,17,13,9,16
"pattern_531",14,16,14,12,10,14,9
"pattern_532",14,16,12,10,16,16,13
"pattern_533",18,12,10,4,12,18,7
"pattern_534",8,18,14,14,20,12,19
"pattern_535",16,14,14,10,12,20,9
"pattern_536",13,15,15,15,11,15,14
"pattern_537",10,12,10,12,10,10,13
"pattern_538",10,12,14,16,12,10,15
"pattern_539",16,12,10,8,14,20,11
"pattern_540",12,12,16,14,14,12,17
"pattern_541",15,17,13,13,15,15,12
"pattern_542",13,13,11,11,11,13,12
"pattern_543",8,10,14,14,10,10,15
"pattern_544",8,16,16,18,14,8,17
"pattern_545",14,14,16,12,10,14,11
"pattern_546",12,6,10,10,10,14,9
"pattern_547",16,14,14,10,12,20,7
"pattern_548",17,13,9,7,13,15,8
"pattern_549",20,12,12,8,14,20,9
"pattern_550",13,17,13,15,13,11,14
"pattern_551",18,16,12,10,8,18,7
"pattern_552",15,13,9,5,9,17,6
"pattern_553",14,10,14,10,14,12,13
"pattern_554",11,17,13,17,15,11,16
"pattern_555",16,14,10,10,12,16,9
"pattern_556",16,14,14,10,14,22,11
"pattern_557",18,10,10,6,12,18,5
"pattern_558",13,11,9,9,11,17,8
"pattern_559",13,11,13,11,11,17,12
"pattern_560",20,12,14,12,12,20,9
"pattern_561",16,14,14,12,10,18,7
"pattern_562",12,14,12,14,12,10,13
"pattern_563",18,10,10,8,12,18,9
"pattern_564",13,13,15,17,13,11,16
"pattern_565",12,12,12,12,12,12,13
"pattern_566",17,11,7,5,11,19,6
"pattern_567",16,12,12,8,12,18,9
"pattern_568",18,16,12,10,8,18,9
"pattern_569",7,15,15,17,13,11,16
"pattern_570",20,14,14,10,12,20,9
"pattern_571",11,11,15,17,11,11,16
"pattern_572",16,14,8,8,14,16,11
"pattern_573",18,14,12,8,10,16,7
"pattern_574",18,14,14,8,10,18,7
"pattern_575",17,11,7,7,13,19,6
"pattern_576",20,12,14,12,12,20,13
"pattern_577",16,14,14,10,10,16,7
"pattern_578",18,12,8,6,12,20,5
"pattern_579",9,11,11,13,11,13,14
"pattern_580",16,14,10,10,12,16,9
"pattern_581",18,12,12,8,14,20,7
"pattern_582",10,8,8,12,8,10,11
"pattern_583",11,9,9,11,11,15,12
"pattern_584",12,10,10,12,8,10,13
"pattern_585",18,14,12,10,14,22,13
"pattern_586",14,8,10,10,10,16,9
"pattern_587",11,13,17,17,17,11,16
"pattern_588",6,14,16,18,16,10,19
"pattern_589",20,10,12,6,12,20,5
"pattern_590",11,9,9,9,11,15,8
"pattern_591",12,14,16,16,14,14,17
"pattern_592",14,14,14,12,14,14,13
"pattern_593",8,14,18,16,12,12,15
"pattern_594",16,12,12,8,8,18,3
"pattern_595",18,14,12,8,14,20,9
"pattern_596",20,10,12,8,10,18,11
"pattern_597",18,12,12,8,12,16,9
"pattern_598",16,14,12,8,8,18,11
"pattern_599",13,13,15,17,13,9,16
"pattern_600",12,10,14,16,10,12,15
"pattern_601",10,8,10,12,8,12,11
"pattern_602",18,12,12,8,18,22,11
"pattern_603",9,11,15,15,11,11,14
"pattern_604",12,16,14,14,14,12,13
"pattern_605",13,13,11,11,9,15,10
"pattern_606",18,12,8,8,12,18,9
"pattern_607",9,13,17,17,11,11,16
"pattern_608",18,14,10,8,12,20,7
"pattern_609",13,11,11,13,11,13,14
"pattern_610",16,14,12,8,8,18,7
"pattern_611",16,14,12,8,10,16,11
"pattern_612",18,12,12,10,12,18,11
"pattern_613",13,9,11,11,11,13,12
"pattern_614",16,14,14,10,14,18,11
"pattern_615",7,15,15,17,15,11,16
"pattern_616",12,12,10,12,10,12,13
"pattern_617",10,10,10,12,10,14,13
"pattern_618",14,16,12,12,14,12,13
"pattern_619",18,12,14,10,16,22,11
"pattern_620",20,12,12,8,16,20,9
"pattern_621",15,15,11,9,13,15,10
"pattern_622",7,13,17,17,13,11,16
"pattern_623",8,12,16,18,14,8,19
"pattern_624",12,14,12,12,12,12,13
"pattern_625",14,8,10,10,10,16,7
"pattern_626",11,11,19,19,15,9,16
"pattern_627",12,12,10,8,6,14,9
"pattern_628",18,14,14,10,14,20,9
"pattern_629",20,10,12,8,14,20,9
"pattern_630",16,12,10,6,14,18,7
"pattern_631",17,11,9,7,9,17,8
"pattern_632",13,13,9,11,11,13,12
"pattern_633",12,8,12,12,10,16,9
"pattern_634",18,14,10,8,10,18,7
"pattern_635",14,14,12,10,14,14,11
"pattern_636",14,14,12,12,10,16,13
"pattern_637",18,12,16,12,12,20,11
"pattern_638",18,14,10,10,8,20,9
"pattern_639",18,18,12,10,10,18,7
"pattern_640",18,12,8,6,12,20,7
"pattern_641",12,16,14,14,12,14,11
"pattern_642",16,16,14,12,14,22,11
"pattern_643",18,16,12,8,10,18,7
"pattern_644",16,12,12,8,14,20,9
"pattern_645",20,12,12,8,10,20,9
"pattern_646",12,12,16,16,16,14,13
"pattern_647",10,6,12,14,10,12,13
"pattern_648",18,10,12,8,12,20,11
"pattern_649",16,16,14,12,14,16,11
"pattern_650",10,12,12,12,8,14,11
"pattern_651",9,13,17,19,15,9,16
"pattern_652",9,17,17,17,13,13,16
"pattern_653",13,17,13,13,13,11,12
"pattern_654",16,14,12,10,12,14,11
"pattern_655",12,16,14,10,12,18,11
"pattern_656",9,9,9,13,11,11,16
"pattern_657",10,14,16,18,14,10,15
"pattern_658",20,10,12,8,14,20,7
"pattern_659",15,13,15,11,7,17,6
"pattern_660",9,11,17,17,13,5,16
"pattern_661",18,14,12,12,12,22,11
"pattern_662",11,15,13,15,13,11,14
